Content,Created by
"Construção de materiais (entendimento e relatórios de candidatos)
",Ingrid Caroline
"PLIA: 
Inserção de candidatos no PLIA - mesmo sem ter sido abordado, ou mesmo que nao faça tanto sentido pro projeto (mas foi avaliado)

Inserção de candidatos nos projetos
Notes das abordagens 

Informações de contato dos candidatos 
Informações de pacote de remuneração 
",Thaina Binas
"PLIA: 
Projetos (ativos, cancelados, on hold, fechados, etc). 

Informações do projeto num geral 
Contato do cliente (e-mail/número)",Thaina Binas
"abordar, explicar o projeto, contatar, acessar a pessoa
Agendamento de abordagem via WhatsApp ou LinkedIn → call via whatsapp
Agendamento de entrevistas via WhatsApp → videocall via Teams",Rodolfo Sousa
"Estratégia de Buscas (quais setores, empresas...) - listagem de empresas no excel, com chatgpt inclusive
Reunião de estratégia de pesquisa no Teams
reunião interna
Listar jobs antigos e revisitar potenciais candidatos (Plia e Sharepoint)
Definir segmentos e empresas target (ChatGPT, notícias, eventos, associações, campo de buscas de jobs antigos)
depende da memória/lembrança das pessoas antigas do time",Rodolfo Sousa
"Mapeamento de candidatos: 
Pesquisa:
LinkedIn/LinkedIn Recruiter
Notícias/eventos
ChatGPT
Buscas (LinkedIn, ChatGPT, Google, Source, projetos antigos e Plia)
",Rodolfo Sousa
"Entendimento com o cliente - alinhamento de perfil
existe um script que ajuda com essa construção
",Rodolfo Sousa
"Buscas de potenciais leads - listar empresas, por semana, que estejam dentro do target da plonge (empresa familiar até 200 mm de faturamento)
listar contatos dentro do excel",Rodolfo Sousa
participação de eventos para fortalecimento de network - criar relacionamentos comerciais,Rodolfo Sousa
"Comercial - Dados e Indicadores
montar relatorio, preencher infos que compoem análise no ppt e excel",Rodolfo Sousa
"ativar
Inmails no LinkedIn ou mensagens no WhatsApp
Conferir se existem contatos no Plia, Looker ou se alguém do time possui",Rodolfo Sousa
Criar relatório de candidato para o cliente,Rodolfo Sousa
Se pudessemos jogar o CV dos candidatos no nosso modelo de histórico (word) e relatório (ppt) e ele construísse automaticamente,Fernanda Bonutti
"“Coral Starfish” - extensão no linkedIN que lê todo o perfil do candidato e joga direto no sistema. 

Se pudessemos jogar o link do LinkedIn e preencheria os campos no Plia
",Thaina Binas
OneNote ser automatizado para criar o parecer de candidatos no nosso modelo,Fernanda Bonutti
Ao acessar as empresas no Plia conseguir ver os profissionais que passaram ou estão lá,Rodolfo Sousa
"Conseguir buscar projetos antigos no Plia, que estivesse conectado ao SharePoint",Rodolfo Sousa
Planilha comercial estivesse conectada no Plia - Trouxesse os dados e indicadores,Rodolfo Sousa
"Usar o Copilot para transcrever as reuniões com os clientes/ou entrevistas com candidatos - aquelas que forem por teams

Utilizar IA para transcrever a conversa de abordagem com o candidato",Thaina Binas
"Organizar status de candidatos por cor de maneira que dê para filtrar (PLIA)

- ""E se o ChatGPT pudesse analisar candidatos e dar scores automáticos no Plia?""

 ""E se o Looker pudesse prever quais candidatos têm mais chance de sucesso?""",Thaina Binas
"Plia
Filtrar os candidatos pelo motivo de não aprovados
Filtrar perfis cadastrados por senioridade/área de atuação/setor/diversidade (p/ posições afirmativas)",Fernanda Bonutti
"Conseguir buscar profissionais no Plia com palavras-chave (segmento, empresas)",
"E se o Plia conseguisse entender o perfil que estamos buscando, colocando quais são as necessidades do cliente, principalmente nas partes técnicas",
Um campo ou programa que tivesse milhares de empresas e seus principais executivos a nível Brasil e pudessemos filtrar por setor/segmento/senioridade,
"'- ""E se o WhatsApp pudesse enviar relatórios automáticos para clientes baseado no Looker?""",
"'- ""E se o OneNote pudesse criar templates automáticos baseado no tipo de projeto no Plia?""",
"'- ""E se o Plia pudesse sugerir próximos passos baseado no histórico de projetos similares?""",
"Grid de abordagem / linkar com o plia

criar o grid de abordagem automaticamente a partir do entendimento do projeto, cultura da empresa, qual é a dor",
"
Conseguiriamos focar  mais no estratégico, além do operacional


",Ingrid Caroline
Mais tempo para tocar mais projetos ao mesmo tempo/assumir um workload maior,Fernanda Bonutti
"Agilidade nos processos 
Desenvolvimento maior na parte estratégica do projeto, olhando menos para o operacional",Thaina Binas
Um tempo mais curto de mapeamento com maior assertividade nos perfis,Fernanda Bonutti
"Garantia de cobertura no mapeamento de segmentos/setores específicos

Qualidade / Segurança",Fernanda Bonutti
"Trazer “lembretes” status do projeto, FUP com cliente, FUP com candidato, envio de e-mail",Ingrid Caroline
Treinamento de PowerBI para levarmos diferentes tipos de análises em estudos de mercado,Fernanda Bonutti
Satisfação do cliente com relatórios mais analíticos e dados mais detalhados em estudos de mercado,Fernanda Bonutti
Agilidade,
Menos chance de erros com atividades mais operacionais (copia e cola),
"Projetos finalizados em um tempo menor,",
trazendo maior satisfação ao cliente,
"Conseguir tocar mais projetos, aumentando o faturamento da Plongê",
"Traria maior crescimento do time, visto que não ficariamos tanto no operacional",
Mais assertividade no perfil dos candidatos,
"Enferrujar a memória e habilidades como raciocinio, criatividade e senso crítico com tantas automações (em pareceres, traduções, lembretes etc)",Fernanda Bonutti
"Entrar no comodismo
Menor atenção aos detalhes
Talvez confiar muito na automação e não garantir que esteja tudo correto, confiando somente na IA
Tiraria a personalização da entrega
Se perdessemos nosso histórico impactaria negativamente com clientes e entregas
",Ingrid Caroline
Menor atenção na hora de conferir as informações geradas por AI ou de forma automatizada,Thaina Binas
"Engessar um processo que talvez não seja bom, ou que gostaríamos que seguisse flexível e ajustável",
Segurança de informação,